ID,Value,IATI
COD,Congo (Kinshasa),Democratic Republic of the Congo
COK,Cook Islands,Cook Islands
XCS,Coral Sea Islands,Coral Sea Islands
CRI,Costa Rica,Costa Rica
CIV,Cote dIvoire,Côte d'Ivoire
HRV,Croatia,Croatia
CUB,Cuba,Cuba
CYP,Cyprus,Cyprus
CZE,Czechia,Czechia
DNK,Denmark,Denmark
XXD,Dhekelia,Dhekelia
DJI,Djibouti,Djibouti
DMA,Dominica,Dominica
DOM,Dominican Republic,Dominican Republic
ECU,Ecuador,Ecuador
EGY,Egypt,Egypt
SLV,El Salvador,El Salvador
GNQ,Equatorial Guinea,Equatorial Guinea
ERI,Eritrea,Eritrea
EST,Estonia,Estonia
ETH,Ethiopia,Ethiopia
XEU,Europa Island,Europa Island
FLK,Falkland Islands (Islas Malvinas),Falkland Islands (Islas Malvinas)
FRO,Faroe Islands,Faroe Islands
FJI,Fiji,Fiji
FIN,Finland,Finland
FRA,France,France
GUF,French Guiana,French Guiana
PYF,French Polynesia,French Polynesia
ATF,French Southern and Antarctic Lands,French Southern and Antarctic Lands
GAB,Gabon,Gabon
GMB,"Gambia, The",Gambia
XGZ,Gaza Strip,West Bank and Gaza
GEO,Georgia,Georgia
DEU,Germany,Germany
GHA,Ghana,Ghana
GIB,Gibraltar,Gibraltar
XGL,Glorioso Islands,Glorioso Islands
GRC,Greece,Greece
GRL,Greenland,Greenland
GRD,Grenada,Grenada
GLP,Guadeloupe,Guadeloupe
GUM,Guam,Guam
GTM,Guatemala,Guatemala
GGY,Guernsey,Guernsey
GIN,Guinea,Guinea
GNB,Guinea-Bissau,Guinea-Bissau
GUY,Guyana,Guyana
HTI,Haiti,Haiti
HMD,Heard Island and McDonald Islands,Heard Island and McDonald Islands
HND,Honduras,Honduras
HKG,Hong Kong,Hong Kong
XHO,Howland Island,Howland Island
HUN,Hungary,Hungary
ISL,Iceland,Iceland
IND,India,India
IDN,Indonesia,Indonesia
IRN,Iran,Iran
IRQ,Iraq,Iraq
IRL,Ireland,Ireland
IMN,Isle of Man,Isle of Man
ISR,Israel,Israel
ITA,Italy,Italy
JAM,Jamaica,Jamaica
XJM,Jan Mayen,Jan Mayen
JPN,Japan,Japan
XJV,Jarvis Island,Jarvis Island
JEY,Jersey,Jersey
XJA,Johnston Atoll,Johnston Atoll
JOR,Jordan,Jordan
XJN,Juan de Nova Island,Juan de Nova Island
KAZ,Kazakhstan,Kazakhstan
KEN,Kenya,Kenya
XKR,Kingman Reef,Kingman Reef
KIR,Kiribati,Kiribati
PRK,"Korea, North","Korea, Democratic Republic of"
KOR,"Korea, South","Korea, Republic of"
XKS,Kosovo,Kosovo
KWT,Kuwait,Kuwait
KGZ,Kyrgyzstan,Kyrgyzstan
LAO,Laos,Laos
LVA,Latvia,Latvia
LBN,Lebanon,Lebanon
LSO,Lesotho,Lesotho
LBR,Liberia,Liberia
LBY,Libya,Libya
LIE,Liechtenstein,Liechtenstein
LTU,Lithuania,Lithuania
LUX,Luxembourg,Luxembourg
MAC,Macau,Macau
MKD,Macedonia,Macedonia
MDG,Madagascar,Madagascar
MWI,Malawi,Malawi
MYS,Malaysia,Malaysia
MDV,Maldives,Maldives
MLI,Mali,Mali
MLT,Malta,Malta
MHL,Marshall Islands,Marshall Islands
MTQ,Martinique,Martinique
MRT,Mauritania,Mauritania
MUS,Mauritius,Mauritius
MYT,Mayotte,Mayotte
MEX,Mexico,Mexico
FSM,"Micronesia, Federated States of","Micronesia, Federated States of"
XMW,Midway Islands,Midway Islands
MDA,Moldova,Moldova
MCO,Monaco,Monaco
MNG,Mongolia,Mongolia
MNE,Montenegro,Montenegro
MSR,Montserrat,Montserrat
MAR,Morocco,Morocco
MOZ,Mozambique,Mozambique
NAM,Namibia,Namibia
NRU,Nauru,Nauru
XNV,Navassa Island,Navassa Island
NPL,Nepal,Nepal
NLD,Netherlands,Netherlands
NCL,New Caledonia,New Caledonia
NZL,New Zealand,New Zealand
NIC,Nicaragua,Nicaragua
NER,Niger,Niger
NGA,Nigeria,Nigeria
NIU,Niue,Niue
NFK,Norfolk Island,Norfolk Island
MNP,Northern Mariana Islands,Northern Mariana Islands
NOR,Norway,Norway
OMN,Oman,Oman
PAK,Pakistan,Pakistan
PLW,Palau,Palau
XPL,Palmyra Atoll,Palmyra Atoll
PAN,Panama,Panama
PNG,Papua New Guinea,Papua New Guinea
XPR,Paracel Islands,Paracel Islands
PRY,Paraguay,Paraguay
PER,Peru,Peru
PHL,Philippines,Philippines
PCN,Pitcairn Islands,Pitcairn Islands
POL,Poland,Poland
PRT,Portugal,Portugal
PRI,Puerto Rico,Puerto Rico
PSE,Palestine,Palestine
QAT,Qatar,Qatar
REU,Reunion,Reunion
ROU,Romania,Romania
RUS,Russia,Russia
RWA,Rwanda,Rwanda
BLM,Saint Barthelemy,Saint Barthelemy
SHN,"Saint Helena, Ascension, and Tristan da Cunha","Saint Helena, Ascension, and Tristan da Cunha"
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis
LCA,Saint Lucia,Saint Lucia
MAF,Saint Martin,Saint Martin
SPM,Saint Pierre and Miquelon,Saint Pierre and Miquelon
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
WSM,Samoa,Samoa
SMR,San Marino,San Marino
STP,Sao Tome and Principe,Sao Tome and Principe
SAU,Saudi Arabia,Saudi Arabia
SEN,Senegal,Senegal
SRB,Serbia,Serbia
SYC,Seychelles,Seychelles
SLE,Sierra Leone,Sierra Leone
SGP,Singapore,Singapore
SVK,Slovakia,Slovak Republic
SVN,Slovenia,Slovenia
SLB,Solomon Islands,Solomon Islands
SOM,Somalia,Somalia
ZAF,South Africa,South Africa
SGS,South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands
ESP,Spain,Spain
XSP,Spratly Islands,Spratly Islands
LKA,Sri Lanka,Sri Lanka
SDN,Sudan,Sudan
SUR,Suriname,Suriname
XSV,Svalbard,Svalbard
SWZ,Eswatini,Eswatini
SWE,Sweden,Sweden
CHE,Switzerland,Switzerland
SYR,Syria,Syria
TWN,Taiwan,Taiwan
TJK,Tajikistan,Tajikistan
TZA,Tanzania,Tanzania
THA,Thailand,Thailand
TLS,Timor-Leste,Timor-Leste
TGO,Togo,Togo
TKL,Tokelau,Tokelau
TON,Tonga,Tonga
TTO,Trinidad and Tobago,Trinidad and Tobago
XTR,Tromelin Island,Tromelin Island
TUN,Tunisia,Tunisia
TUR,Turkey,Türkiye
TKM,Turkmenistan,Turkmenistan
TCA,Turks and Caicos Islands,Turks and Caicos Islands
TUV,Tuvalu,Tuvalu
UGA,Uganda,Uganda
UKR,Ukraine,Ukraine
ARE,United Arab Emirates,United Arab Emirates
GBR,United Kingdom,United Kingdom
USA,Worldwide,Worldwide
URY,Uruguay,Uruguay
UZB,Uzbekistan,Uzbekistan
VUT,Vanuatu,Vanuatu
VAT,Vatican City,Vatican City
VEN,Venezuela,Venezuela
VNM,Vietnam,Vietnam
VGB,British Virgin Islands,British Virgin Islands
VIR,U.S. Virgin Islands,U.S. Virgin Islands
XWK,Wake Island,Wake Island
WLF,Wallis and Futuna,Wallis and Futuna
AFG,Afghanistan,Afghanistan
XQZ,Akrotiri,Akrotiri
ALB,Albania,Albania
DZA,Algeria,Algeria
ASM,American Samoa,American Samoa
AND,Andorra,Andorra
AGO,Angola,Angola
AIA,Anguilla,Anguilla
ATG,Antigua and Barbuda,Antigua and Barbuda
ARG,Argentina,Argentina
ARM,Armenia,Armenia
ABW,Aruba,Aruba
XAC,Ashmore and Cartier Islands,Ashmore and Cartier Islands
AUS,Australia,Australia
AUT,Austria,Austria
AZE,Azerbaijan,Azerbaijan
BHS,"Bahamas, The",Bahamas
BHR,Bahrain,Bahrain
XBK,Baker Island,Baker Island
BGD,Bangladesh,Bangladesh
BRB,Barbados,Barbados
XBI,Bassas da India,Bassas da India
BLR,Belarus,Belarus
BEL,Belgium,Belgium
BLZ,Belize,Belize
BEN,Benin,Benin
BMU,Bermuda,Bermuda
BTN,Bhutan,Bhutan
BOL,Bolivia,Bolivia
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina
BWA,Botswana,Botswana
BVT,Bouvet Island,Bouvet Island
BRA,Brazil,Brazil
IOT,British Indian Ocean Territory,British Indian Ocean Territory
BRN,Brunei,Brunei
BGR,Bulgaria,Bulgaria
BFA,Burkina Faso,Burkina Faso
MMR,Burma,Burma
BDI,Burundi,Burundi
KHM,Cambodia,Cambodia
CMR,Cameroon,Cameroon
CAN,Canada,Canada
CPV,Cabo Verde,Cabo Verde
CYM,Cayman Islands,Cayman Islands
CAF,Central African Republic,Central African Republic
TCD,Chad,Chad
CHL,Chile,Chile
CHN,China,China
CXR,Christmas Island,Christmas Island
CPT,Clipperton Island,Clipperton Island
CCK,Cocos (Keeling) Islands,Cocos (Keeling) Islands
COL,Colombia,Colombia
COM,Comoros,Comoros
COG,Congo (Brazzaville),Republic of the Congo
XWB,West Bank,West Bank and Gaza
ESH,Western Sahara,North Africa Region
YEM,Yemen,Yemen
ZMB,Zambia,Zambia
ZWE,Zimbabwe,Zimbabwe
ATA,Antarctica,Antarctica
CUW,Curacao,Curacao
SSD,South Sudan,South Sudan
BES,"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba"
SXM,Sint Maarten,Sint Maarten
Information Redacted,Worldwide,Worldwide
INFORMATION REDACTED,Worldwide,Worldwide
Worldwide,Worldwide,Worldwide
XXX,Netherland Antilles,Netherland Antilles
TX9,Worldwide,Worldwide
SX2,South & Central Asia,South and Central Asia Region
RX1,Sub-Sahara Africa,Sub-Saharan Africa Region
SX1,Near East,Middle East and North Africa Region
RX2,East Asia & Pacific,East Asia and Oceania Region
TX1,Europe & Eurasia,Europe Region
QX1,Western Hemisphere,Western Hemisphere Region
RX3,Africa (East Africa),Eastern Africa Region
RX4,Africa (Central Africa),Eastern and Central Africa Region
RX5,Africa (Southern Africa),Southern Africa Region
RX6,Near East (West Africa),West Africa Region
SX3,Near East (North Africa),North Africa Region
SX4,Near East (Gulf States),Middle East Region
SX5,Near East (Levant),Middle East Region
SX6,Near East (Israel and Palestinian Affairs),Middle East Region
SX7,South & Central Asia (Central Asia),South and Central Asia Region
SX8,South & Central Asia (Afghanistan/Pakistan),South and Central Asia Region
SX9,South & Central Asia (South Asia),Southern Asia Region
RX7,East Asia & Pacific (East Asia),Eastern Asia Region
RX8,East Asia & Pacific (Southeast Asia),South East Asia Region
RX9,East Asia & Pacific (Oceania),Oceania Region
TX2,Europe & Eurasia (Western Europe),Europe Region
TX3,Europe & Eurasia (Central Europe & Baltics),Central and Eastern Europe Region
TX4,Europe & Eurasia (South‐Central Europe),Central and Eastern Europe Region
TX5,Europe & Eurasia (Southern Europe),Europe Region
TX6,Europe & Eurasia (Eurasia),Eurasia Region
QX2,Western Hemisphere (North America),North and Central America Region
QX3,Western Hemisphere (Central America),Central America Region
QX4,Western Hemisphere (Caribbean),Caribbean Region
QX5,Western Hemisphere (South America),South America Region
,ERROR - REVIEW,Worldwide
