Country,Region
Asia Region,East Asia and Oceania Region
Ashmore and Cartier Islands,East Asia and Oceania Region
Australia,East Asia and Oceania Region
Brunei,East Asia and Oceania Region
Burma,East Asia and Oceania Region
Cambodia,East Asia and Oceania Region
China,East Asia and Oceania Region
Christmas Island,East Asia and Oceania Region
Clipperton Island,East Asia and Oceania Region
Cocos (Keeling) Islands,East Asia and Oceania Region
Cook Islands,East Asia and Oceania Region
Coral Sea Islands,East Asia and Oceania Region
East Asia and Pacific (East Asia),East Asia and Oceania Region
East Asia and Oceania Region,East Asia and Oceania Region
Eastern Asia Region,East Asia and Oceania Region
Fiji,East Asia and Oceania Region
French Polynesia,East Asia and Oceania Region
Hong Kong,East Asia and Oceania Region
Indonesia,East Asia and Oceania Region
Japan,East Asia and Oceania Region
Kiribati,East Asia and Oceania Region
"Kiribati, Republic of",East Asia and Oceania Region
"Korea, Democratic Republic of",East Asia and Oceania Region
"Korea, Republic of",East Asia and Oceania Region
Laos,East Asia and Oceania Region
Macau,East Asia and Oceania Region
Malaysia,East Asia and Oceania Region
Marshall Islands,East Asia and Oceania Region
"Micronesia, Federated States of",East Asia and Oceania Region
Mongolia,East Asia and Oceania Region
Nauru,East Asia and Oceania Region
New Caledonia,East Asia and Oceania Region
New Zealand,East Asia and Oceania Region
Niue,East Asia and Oceania Region
Norfolk Island,East Asia and Oceania Region
Oceania Region,East Asia and Oceania Region
Palau,East Asia and Oceania Region
Papua New Guinea,East Asia and Oceania Region
Paracel Islands,East Asia and Oceania Region
Philippines,East Asia and Oceania Region
Pitcairn Islands,East Asia and Oceania Region
Samoa,East Asia and Oceania Region
Singapore,East Asia and Oceania Region
Solomon Islands,East Asia and Oceania Region
South East Asia Region,East Asia and Oceania Region
Spratly Islands,East Asia and Oceania Region
Taiwan,East Asia and Oceania Region
Thailand,East Asia and Oceania Region
Timor-Leste,East Asia and Oceania Region
Tokelau,East Asia and Oceania Region
Tonga,East Asia and Oceania Region
Tuvalu,East Asia and Oceania Region
Vanuatu,East Asia and Oceania Region
Vietnam,East Asia and Oceania Region
Wallis and Futuna,East Asia and Oceania Region
Europe,Europe and Eurasia Region
Europe and Eurasia region,Europe and Eurasia Region
Europe and Eurasia Region,Europe and Eurasia Region
Europe Region,Europe and Eurasia Region
Akrotiri,Europe and Eurasia Region
Albania,Europe and Eurasia Region
Andorra,Europe and Eurasia Region
Armenia,Europe and Eurasia Region
Austria,Europe and Eurasia Region
Azerbaijan,Europe and Eurasia Region
Belarus,Europe and Eurasia Region
Belgium,Europe and Eurasia Region
Bermuda,Europe and Eurasia Region
Bosnia and Herzegovina,Europe and Eurasia Region
Bulgaria,Europe and Eurasia Region
Central and Eastern Europe Region,Europe and Eurasia Region
Croatia,Europe and Eurasia Region
Cyprus,Europe and Eurasia Region
Czechia,Europe and Eurasia Region
Czech Republic,Europe and Eurasia Region
Denmark,Europe and Eurasia Region
Dhekelia,Europe and Eurasia Region
Estonia,Europe and Eurasia Region
Europe and Eurasia (Eurasia),Europe and Eurasia Region
Eurasia Region,Europe and Eurasia Region
Europe Region,Europe and Eurasia Region
Faroe Islands,Europe and Eurasia Region
Finland,Europe and Eurasia Region
France,Europe and Eurasia Region
Georgia,Europe and Eurasia Region
Germany,Europe and Eurasia Region
Gibraltar,Europe and Eurasia Region
Greece,Europe and Eurasia Region
Greenland,Europe and Eurasia Region
Guernsey,Europe and Eurasia Region
Hungary,Europe and Eurasia Region
Iceland,Europe and Eurasia Region
Ireland,Europe and Eurasia Region
Isle of Man,Europe and Eurasia Region
Italy,Europe and Eurasia Region
Jan Mayen,Europe and Eurasia Region
Jersey,Europe and Eurasia Region
Kosovo,Europe and Eurasia Region
Latvia,Europe and Eurasia Region
Liechtenstein,Europe and Eurasia Region
Lithuania,Europe and Eurasia Region
Luxembourg,Europe and Eurasia Region
Macedonia,Europe and Eurasia Region
Malta,Europe and Eurasia Region
Moldova,Europe and Eurasia Region
Monaco,Europe and Eurasia Region
Montenegro,Europe and Eurasia Region
Netherland Antilles,Europe and Eurasia Region
Netherlands,Europe and Eurasia Region
North Macedonia,Europe and Eurasia Region
Norway,Europe and Eurasia Region
Poland,Europe and Eurasia Region
Portugal,Europe and Eurasia Region
Romania,Europe and Eurasia Region
Russia,Europe and Eurasia Region
San Marino,Europe and Eurasia Region
Serbia,Europe and Eurasia Region
Slovakia,Europe and Eurasia Region
Slovak Republic,Europe and Eurasia Region
Slovenia,Europe and Eurasia Region
Spain,Europe and Eurasia Region
Svalbard,Europe and Eurasia Region
Sweden,Europe and Eurasia Region
Switzerland,Europe and Eurasia Region
Türkiye,Europe and Eurasia Region
Turkey,Europe and Eurasia Region
Ukraine,Europe and Eurasia Region
United Kingdom,Europe and Eurasia Region
Vatican City,Europe and Eurasia Region
Eastern Europe Region,Europe and Eurasia Region
Algeria,Middle East and North Africa Region
Bahrain,Middle East and North Africa Region
Egypt,Middle East and North Africa Region
Iran,Middle East and North Africa Region
Iraq,Middle East and North Africa Region
Israel,Middle East and North Africa Region
Palestine,Middle East and North Africa Region
Jordan,Middle East and North Africa Region
Kuwait,Middle East and North Africa Region
Lebanon,Middle East and North Africa Region
Libya,Middle East and North Africa Region
"Asia, Middle East and North Africa Region",Middle East and North Africa Region
Middle East and North Africa,Middle East and North Africa Region
Middle East and North Africa Region,Middle East and North Africa Region
Middle East Region,Middle East and North Africa Region
Morocco,Middle East and North Africa Region
North Africa Region,Middle East and North Africa Region
Oman,Middle East and North Africa Region
Qatar,Middle East and North Africa Region
Saudi Arabia,Middle East and North Africa Region
Syria,Middle East and North Africa Region
Tunisia,Middle East and North Africa Region
United Arab Emirates,Middle East and North Africa Region
West Bank and Gaza,Middle East and North Africa Region
Western Sahara,Middle East and North Africa Region
Near East (Gulf States),Middle East and North Africa Region
Yemen,Middle East and North Africa Region
Afghanistan,South and Central Asia Region
Bangladesh,South and Central Asia Region
Bassas da India,South and Central Asia Region
Bhutan,South and Central Asia Region
British Indian Ocean Territory,South and Central Asia Region
Europa Island,South and Central Asia Region
French Southern and Antarctic Lands,South and Central Asia Region
Glorioso Islands,South and Central Asia Region
Heard Island and McDonald Islands,South and Central Asia Region
India,South and Central Asia Region
Kazakhstan,South and Central Asia Region
Kyrgyzstan,South and Central Asia Region
Maldives,South and Central Asia Region
Nepal,South and Central Asia Region
Pakistan,South and Central Asia Region
South and Central Asia Region,South and Central Asia Region
Southern Asia Region,South and Central Asia Region
Sri Lanka,South and Central Asia Region
Tajikistan,South and Central Asia Region
Turkmenistan,South and Central Asia Region
Uzbekistan,South and Central Asia Region
Africa,Sub-Saharan Africa Region
Africa Region,Sub-Saharan Africa Region
Angola,Sub-Saharan Africa Region
Benin,Sub-Saharan Africa Region
Botswana,Sub-Saharan Africa Region
Bouvet Island,Sub-Saharan Africa Region
Burkina Faso,Sub-Saharan Africa Region
Burundi,Sub-Saharan Africa Region
Cabo Verde,Sub-Saharan Africa Region
Cameroon,Sub-Saharan Africa Region
Central African Republic,Sub-Saharan Africa Region
Chad,Sub-Saharan Africa Region
Comoros,Sub-Saharan Africa Region
Côte d'Ivoire,Sub-Saharan Africa Region
Democratic Republic of the Congo,Sub-Saharan Africa Region
Djibouti,Sub-Saharan Africa Region
Eastern Africa Region,Sub-Saharan Africa Region
Eastern and Central Africa Region,Sub-Saharan Africa Region
Equatorial Guinea,Sub-Saharan Africa Region
Eritrea,Sub-Saharan Africa Region
Eswatini,Sub-Saharan Africa Region
Ethiopia,Sub-Saharan Africa Region
Gabon,Sub-Saharan Africa Region
Gambia,Sub-Saharan Africa Region
Ghana,Sub-Saharan Africa Region
Guinea,Sub-Saharan Africa Region
Guinea-Bissau,Sub-Saharan Africa Region
Juan de Nova Island,Sub-Saharan Africa Region
Kenya,Sub-Saharan Africa Region
Lesotho,Sub-Saharan Africa Region
Liberia,Sub-Saharan Africa Region
Madagascar,Sub-Saharan Africa Region
Malawi,Sub-Saharan Africa Region
Mali,Sub-Saharan Africa Region
Mauritania,Sub-Saharan Africa Region
Mauritius,Sub-Saharan Africa Region
Mayotte,Sub-Saharan Africa Region
Mozambique,Sub-Saharan Africa Region
Namibia,Sub-Saharan Africa Region
Niger,Sub-Saharan Africa Region
Nigeria,Sub-Saharan Africa Region
Republic of the Congo,Sub-Saharan Africa Region
Reunion,Sub-Saharan Africa Region
Rwanda,Sub-Saharan Africa Region
"Saint Helena, Ascension, and Tristan da Cunha",Sub-Saharan Africa Region
Sao Tome and Principe,Sub-Saharan Africa Region
Senegal,Sub-Saharan Africa Region
Seychelles,Sub-Saharan Africa Region
Sierra Leone,Sub-Saharan Africa Region
Somalia,Sub-Saharan Africa Region
South Africa,Sub-Saharan Africa Region
South Sudan,Sub-Saharan Africa Region
Southern Africa Region,Sub-Saharan Africa Region
Sub-Saharan Africa,Sub-Saharan Africa Region
Sub-Saharan Africa Region,Sub-Saharan Africa Region
Sudan,Sub-Saharan Africa Region
Tanzania,Sub-Saharan Africa Region
Togo,Sub-Saharan Africa Region
Tromelin Island,Sub-Saharan Africa Region
Uganda,Sub-Saharan Africa Region
West Africa Region,Sub-Saharan Africa Region
Zambia,Sub-Saharan Africa Region
Zimbabwe,Sub-Saharan Africa Region
American Samoa,Western Hemisphere Region
Anguilla,Western Hemisphere Region
Antigua and Barbuda,Western Hemisphere Region
Argentina,Western Hemisphere Region
Aruba,Western Hemisphere Region
Bahamas,Western Hemisphere Region
"Bahamas, The",Western Hemisphere Region
Baker Island,Western Hemisphere Region
Barbados,Western Hemisphere Region
Belize,Western Hemisphere Region
Bolivia,Western Hemisphere Region
"Bonaire, Sint Eustatius and Saba",Western Hemisphere Region
Brazil,Western Hemisphere Region
British Virgin Islands,Western Hemisphere Region
Canada,Western Hemisphere Region
Caribbean Region,Western Hemisphere Region
Cayman Islands,Western Hemisphere Region
Central America Region,Western Hemisphere Region
Chile,Western Hemisphere Region
Colombia,Western Hemisphere Region
Costa Rica,Western Hemisphere Region
Cuba,Western Hemisphere Region
Curacao,Western Hemisphere Region
Dominica,Western Hemisphere Region
Dominican Republic,Western Hemisphere Region
Ecuador,Western Hemisphere Region
El Salvador,Western Hemisphere Region
Falkland Islands (Islas Malvinas),Western Hemisphere Region
French Guiana,Western Hemisphere Region
Grenada,Western Hemisphere Region
Guadeloupe,Western Hemisphere Region
Guam,Western Hemisphere Region
Guatemala,Western Hemisphere Region
Guyana,Western Hemisphere Region
Haiti,Western Hemisphere Region
Honduras,Western Hemisphere Region
Howland Island,Western Hemisphere Region
Jamaica,Western Hemisphere Region
Jarvis Island,Western Hemisphere Region
Johnston Atoll,Western Hemisphere Region
Kingman Reef,Western Hemisphere Region
Martinique,Western Hemisphere Region
Mexico,Western Hemisphere Region
Midway Islands,Western Hemisphere Region
Montserrat,Western Hemisphere Region
Navassa Island,Western Hemisphere Region
Nicaragua,Western Hemisphere Region
North and Central America Region,Western Hemisphere Region
Northern Mariana Islands,Western Hemisphere Region
Palmyra Atoll,Western Hemisphere Region
Panama,Western Hemisphere Region
Paraguay,Western Hemisphere Region
Peru,Western Hemisphere Region
Puerto Rico,Western Hemisphere Region
Saint Barthelemy,Western Hemisphere Region
Saint Kitts and Nevis,Western Hemisphere Region
St. Lucia,Western Hemisphere Region
Saint Lucia,Western Hemisphere Region
Saint Martin,Western Hemisphere Region
Saint Pierre and Miquelon,Western Hemisphere Region
St. Vincent and the Grenadines,Western Hemisphere Region
Saint Vincent and the Grenadines,Western Hemisphere Region
Sint Maarten,Western Hemisphere Region
South America Region,Western Hemisphere Region
South Georgia and the South Sandwich Islands,Western Hemisphere Region
Suriname,Western Hemisphere Region
Trinidad and Tobago,Western Hemisphere Region
Turks and Caicos Islands,Western Hemisphere Region
U.S. Virgin Islands,Western Hemisphere Region
Uruguay,Western Hemisphere Region
Venezuela,Western Hemisphere Region
Wake Island,Western Hemisphere Region
Latin America Region,Western Hemisphere Region
Latin America and Caribbean Region,Western Hemisphere Region
Central America and Caribbean Region,Western Hemisphere Region
St. Kitts and Nevis,Western Hemisphere Region
Western Hemisphere Region,Western Hemisphere Region
Antarctica,World
Worldwide,World
ERROR - REVIEW,World
UNAMID,World
World,World
